#	Name	Team	K/9 K/9 - Strikeouts per 9 Innings ((SO*9)/IP)	BB/9 BB/9 - Walks per 9 Innings ((BB*9)/IP)	K-BB% K-BB% - The difference between strikeout percentage and walk percentage	xFIP xFIP - Expected Fielder Independent Pitching where Home Runs are calculated as 10.5% of Fly Balls induced	SIERA SIERA - Skill Interactive ERA	IP IP - Innings Pitched	gmLI gmLI - Average Leverage Index when entering the game	LD% LD% - Line Drive Percentage (LD/BIP)	GB% GB% - Ground Ball Percentage (GB/BIP)	FB% FB% - Fly Ball Percentage (FB/BIP)
47	Eric Lauer	LAD	6.94	2.31	13.0%	4.63	4.41	11.2	0.87	12.9%	35.5%	51.6%
48	Foster Griffin	WSN	8.25	1.50	18.0%	3.14	3.40	12.0	0.87	25.7%	48.6%	25.7%
49	Framber Valdez	DET	6.55	4.09	6.0%	4.64	4.36	11.0	0.87	11.4%	65.7%	22.9%
50	Freddy Peralta	NYM	5.93	2.63	7.5%	5.28	4.89	13.2	0.87	17.3%	44.2%	38.5%
51	Gage Jump	ATH	9.75	3.00	20.0%	3.55	3.45	12.0	0.87	7.1%	46.4%	46.4%
52	Gavin Williams	CLE	7.20	3.60	8.3%	5.09	4.81	5.0	0.87	5.9%	47.1%	47.1%
53	George Kirby	SEA	11.25	2.25	23.1%	3.59	3.35	12.0	0.87	18.2%	27.3%	54.5%
54	Gerrit Cole	NYY	9.00	3.60	13.6%	4.24	4.06	10.0	0.87	7.1%	53.6%	39.3%
55	Grant Holmes	ATL	6.35	7.94	-3.2%	7.23	6.50	5.2	0.89	20.0%	35.0%	45.0%
56	Grayson Rodriguez	LAA	3.86	7.71	-8.3%	6.74	7.04	2.1	0.87	62.5%	25.0%	12.5%
57	Griffin Canning	SDP	10.80	9.00	4.2%	6.09	5.83	5.0	0.92	7.7%	30.8%	61.5%
58	Griffin Jax	TBR	9.00	0.00	26.3%	2.29	2.65	10.0	0.87	25.0%	46.4%	28.6%
59	Hunter Brown	HOU	11.12	4.76	19.0%	3.01	3.62	5.2	0.87	18.2%	54.5%	27.3%
60	Hunter Dobbins	STL	10.38	0.00	25.0%	2.51	3.00	4.1	0.93	33.3%	33.3%	33.3%
61	Ian Seymour	TBR	7.20	0.00	18.2%	4.49	4.35	5.0	0.87	35.3%	17.6%	47.1%
62	J.T. Ginn	ATH	6.88	4.24	6.3%	4.83	4.88	17.0	0.87	11.9%	52.5%	35.6%
63	Jack Flaherty	DET	3.00	3.00	0.0%	6.42	6.90	3.0	0.87	27.3%	18.2%	54.5%
64	Jack Leiter	TEX	7.00	4.00	6.7%	5.36	5.21	9.0	0.90	26.5%	29.4%	44.1%
65	Jack Perkins	ATH	11.57	4.50	17.5%	3.73	3.82	14.0	0.87	28.9%	28.9%	42.1%
66	Jacob deGrom	TEX	10.50	2.25	22.0%	3.13	3.22	12.0	0.87	21.2%	39.4%	39.4%
67	Jacob Misiorowski	MIL	13.20	0.60	41.2%	1.46	1.45	15.0	0.87	14.3%	46.4%	39.3%
