#	Name	Team	K/9 K/9 - Strikeouts per 9 Innings ((SO*9)/IP)	BB/9 BB/9 - Walks per 9 Innings ((BB*9)/IP)	K-BB% K-BB% - The difference between strikeout percentage and walk percentage	xFIP xFIP - Expected Fielder Independent Pitching where Home Runs are calculated as 10.5% of Fly Balls induced	SIERA SIERA - Skill Interactive ERA	IP IP - Innings Pitched	gmLI gmLI - Average Leverage Index when entering the game	Stuff+
122	Ryan Johnson	LAA	4.32	5.40	-2.2%	6.97	6.53	8.1	0.87	91
123	Seth Lugo	KCR	7.49	2.84	12.3%	4.27	4.36	79.1	0.87	88
124	Michael Wacha	KCR	6.89	2.68	11.5%	4.31	4.43	94.0	0.88	97
125	Kris Bubic	KCR	9.12	4.65	12.1%	4.13	4.37	50.1	0.88	93
126	Stephen Kolek	KCR	6.08	1.79	12.1%	3.79	4.14	50.1	0.89	92
127	Cole Ragans	KCR	11.46	5.86	14.6%	4.35	4.26	35.1	0.84	109
128	Luinder Avila	KCR	7.91	6.52	3.4%	5.36	5.53	19.1	0.86	99
129	Noah Cameron	KCR	8.40	2.28	15.8%	3.89	3.95	75.0	0.87	96
130	Lance McCullers Jr.	HOU	9.84	5.03	12.2%	4.14	4.35	39.1	0.83	97
131	Cristian Javier	HOU	3.86	8.68	-10.4%	8.17	7.66	9.1	0.87	93
132	Peter Lambert	HOU	8.16	3.52	12.6%	4.48	4.30	64.0	0.87	91
133	Jason Alexander	HOU	6.00	2.25	10.0%	4.75	4.59	12.0	0.89	86
134	Cody Bolton	HOU	10.57	8.22	5.3%	5.24	5.39	7.2	0.88	93
135	Kai-Wei Teng	HOU	9.96	4.98	11.9%	4.41	4.33	34.1	0.88	96
136	Ryan Weiss	HOU	9.00	10.29	-2.9%	6.22	6.67	7.0	0.87	101
137	Mike Burrows	HOU	7.47	3.45	10.0%	4.68	4.62	78.1	0.87	93
138	Hunter Brown	HOU	13.22	4.96	23.4%	2.63	3.23	16.1	0.87	104
139	Spencer Arrighetti	HOU	8.57	4.57	10.4%	4.73	4.56	63.0	0.87	99
140	Tatsuya Imai	HOU	9.51	6.17	8.3%	4.57	4.81	35.0	0.80	87
141	Drew Anderson	DET	14.73	4.91	26.7%	2.68	2.93	7.1	0.90	101
142	Framber Valdez	DET	7.21	3.44	9.5%	4.35	4.42	83.2	0.88	103
143	Jack Flaherty	DET	10.69	4.66	14.4%	4.54	4.21	65.2	0.88	100
144	Casey Mize	DET	8.94	2.24	18.9%	3.82	3.67	52.1	0.87	89
145	Tarik Skubal	DET	9.19	1.31	22.5%	2.76	3.04	48.0	0.86	117
146	Keider Montero	DET	5.97	2.12	10.8%	4.92	4.78	72.1	0.87	93
147	Troy Melton	DET	4.91	2.10	7.8%	4.56	4.82	25.2	0.89	97
148	Jose Quintana	COL	4.39	3.73	1.7%	5.87	5.88	41.0	0.87	80
149	Michael Lorenzen	COL	7.75	3.23	10.4%	4.37	4.44	69.2	0.88	88
150	Kyle Freeland	COL	7.52	2.45	11.8%	4.53	4.38	58.2	0.87	92
151	Ryan Feltner	COL	7.24	3.51	9.8%	4.43	4.58	41.0	0.87	93
152	Tanner Gordon	COL	5.63	2.25	7.9%	5.95	5.18	8.0	0.87	82
153	Zach Agnos	COL	5.63	4.50	3.1%	5.95	6.03	8.0	0.87	90
154	Chase Dollander	COL	7.90	5.27	6.8%	4.73	4.99	13.2	0.89	109
155	Sean Sullivan	COL	5.14	2.57	5.7%	7.49	6.72	7.0	0.87	77
156	Tomoyuki Sugano	COL	5.03	2.70	6.1%	5.09	5.18	73.1	0.87	80
