#	Name	Team	K/9 K/9 - Strikeouts per 9 Innings ((SO*9)/IP)	BB/9 BB/9 - Walks per 9 Innings ((BB*9)/IP)	K-BB% K-BB% - The difference between strikeout percentage and walk percentage	xFIP xFIP - Expected Fielder Independent Pitching where Home Runs are calculated as 10.5% of Fly Balls induced	SIERA SIERA - Skill Interactive ERA	IP IP - Innings Pitched	gmLI gmLI - Average Leverage Index when entering the game	LD% LD% - Line Drive Percentage (LD/BIP)	GB% GB% - Ground Ball Percentage (GB/BIP)	FB% FB% - Fly Ball Percentage (FB/BIP)
122	Landen Roupp	SFG	9.97	3.70	16.6%	3.38	3.71	80.1	0.87	19.6%	49.8%	30.6%
123	Logan Gilbert	SEA	9.55	2.08	20.8%	3.67	3.45	86.2	0.87	20.6%	32.9%	46.5%
124	Logan Henderson	MIL	11.74	2.35	26.7%	3.03	2.98	23.0	0.87	31.5%	18.5%	50.0%
125	Logan Webb	SFG	7.77	2.27	14.9%	3.38	3.63	75.1	0.87	21.1%	53.7%	25.2%
126	Lucas Giolito	SDP	6.10	7.84	-4.2%	6.60	6.81	20.2	0.89	25.8%	27.4%	46.8%
127	Luinder Avila	KCR	7.91	6.52	3.4%	5.37	5.54	19.1	0.86	15.8%	42.1%	42.1%
128	Luis Castillo	SEA	8.80	3.19	13.9%	4.30	4.18	59.1	0.87	23.6%	35.2%	41.2%
129	Luis Gil	NYY	4.19	5.12	-2.4%	6.35	6.22	19.1	0.88	11.5%	45.9%	42.6%
130	Luis Morales	ATH	6.14	9.82	-7.1%	8.48	7.32	7.1	0.87	17.9%	28.6%	53.6%
131	Luis Severino	ATH	9.34	4.45	12.5%	4.13	4.29	62.2	0.87	18.1%	44.4%	37.4%
132	MacKenzie Gore	TEX	9.92	4.04	15.2%	4.06	4.04	78.0	0.88	21.2%	35.8%	42.9%
133	Martín Pérez	ATL	6.90	3.53	9.2%	4.14	4.51	58.2	0.88	20.0%	49.1%	30.9%
134	Matt Waldron	SDP	5.27	3.29	4.3%	5.87	5.30	13.2	0.87	11.5%	46.2%	42.3%
135	Matthew Boyd	CHC	11.63	2.25	25.0%	2.70	2.90	24.0	0.87	23.8%	39.7%	36.5%
136	Matthew Liberatore	STL	8.34	3.36	12.5%	4.16	4.30	72.1	0.88	22.9%	38.1%	39.0%
137	Max Fried	NYY	7.30	2.77	12.9%	3.88	4.11	61.2	0.87	16.9%	48.8%	34.3%
138	Max Meyer	MIA	10.06	3.39	17.8%	3.73	3.68	85.0	0.88	18.8%	41.3%	39.9%
139	Max Scherzer	TOR	5.73	4.50	2.9%	6.25	5.84	22.0	0.88	14.5%	31.6%	53.9%
140	Merrill Kelly	ARI	5.43	3.62	4.5%	5.35	5.38	69.2	0.84	20.5%	36.3%	43.2%
141	Michael King	SDP	7.73	3.71	10.9%	4.36	4.44	85.0	0.87	15.4%	46.5%	38.2%
142	Michael Lorenzen	COL	7.75	3.23	10.4%	4.38	4.45	69.2	0.88	21.7%	44.6%	33.7%
143	Michael McGreevy	STL	5.72	2.16	9.9%	4.11	4.49	83.1	0.87	20.6%	45.5%	33.9%
144	Michael Soroka	ARI	8.67	1.87	18.6%	3.58	3.60	82.0	0.88	23.5%	38.3%	38.3%
145	Michael Wacha	KCR	6.89	2.68	11.5%	4.32	4.44	94.0	0.88	21.2%	38.3%	40.5%
146	Mick Abel	MIN	10.06	3.18	17.8%	3.95	3.66	17.0	0.87	16.3%	44.2%	39.5%
147	Mike Burrows	HOU	7.47	3.45	10.0%	4.69	4.63	78.1	0.87	20.3%	38.2%	41.4%
148	Mike Paredes	MIN	7.04	2.35	12.9%	4.85	4.28	7.2	0.85	19.0%	38.1%	42.9%
149	Miles Mikolas	WSN	6.84	3.60	7.6%	4.33	4.56	25.0	0.87	17.0%	53.4%	29.5%
150	Mitch Keller	PIT	7.11	3.39	9.6%	4.34	4.58	82.1	0.88	26.9%	40.6%	32.5%
151	Nathan Eovaldi	TEX	8.55	2.16	17.1%	3.55	3.60	87.1	0.88	17.5%	49.6%	32.9%
152	Nick Lodolo	CIN	6.75	3.59	7.7%	5.07	4.85	42.2	0.87	22.8%	41.2%	36.0%
153	Nick Martinez	TBR	5.42	1.52	10.6%	4.44	4.66	83.0	0.88	24.4%	35.4%	40.2%
154	Nick Pivetta	SDP	13.50	3.38	27.3%	3.19	2.83	16.0	0.87	8.3%	33.3%	58.3%
155	Noah Cameron	KCR	8.40	2.28	15.8%	3.89	3.95	75.0	0.87	24.3%	35.2%	40.4%
156	Noah Schultz	CHW	7.68	5.12	6.5%	5.38	5.16	38.2	0.88	17.8%	34.6%	47.7%
157	Nolan McLean	NYM	10.48	3.46	18.9%	3.43	3.50	83.1	0.87	20.6%	47.1%	32.4%
158	Parker Messick	CLE	9.45	2.91	18.3%	3.43	3.61	86.2	0.88	20.0%	42.3%	37.7%
159	Patrick Corbin	TOR	6.34	2.95	8.5%	4.61	4.76	61.0	0.87	26.9%	38.8%	34.3%
160	Paul Skenes	PIT	10.87	1.76	25.5%	2.87	2.84	82.0	0.87	15.8%	44.8%	39.4%
161	Payton Tolle	BOS	9.26	2.47	18.6%	3.97	3.71	58.1	0.87	14.9%	34.4%	50.6%
162	Peter Lambert	HOU	8.16	3.52	12.6%	4.49	4.31	64.0	0.87	14.5%	41.0%	44.5%
163	PJ Poulin	WSN	5.11	2.19	8.3%	4.76	4.84	12.1	0.86	18.9%	40.5%	40.5%
164	Randy Vásquez	SDP	6.84	2.90	10.2%	4.82	4.70	77.2	0.84	19.2%	35.1%	45.7%
165	Ranger Suarez	BOS	8.80	2.82	16.5%	3.62	3.82	76.2	0.88	25.0%	38.9%	36.1%
166	Reid Detmers	LAA	10.23	2.45	21.4%	3.53	3.35	88.0	0.86	19.1%	35.1%	45.8%
167	Reynaldo López	ATL	8.31	4.57	9.5%	4.92	4.76	21.2	0.88	19.0%	34.9%	46.0%
168	Rhett Lowder	CIN	7.22	4.82	6.0%	5.01	5.10	52.1	0.88	18.1%	42.5%	39.4%
169	Richard Lovelady	WSN	8.59	4.91	9.7%	4.25	4.68	7.1	0.86	30.0%	35.0%	35.0%
170	Robbie Ray	SFG	8.10	4.42	9.6%	4.87	4.83	73.1	0.88	19.2%	31.3%	49.5%
171	Robby Snelling	MIA	3.60	7.20	-9.1%	6.19	7.26	5.0	0.87	21.4%	42.9%	35.7%
172	Robert Gasser	MIL	9.00	4.13	12.1%	5.15	4.65	24.0	0.88	21.7%	24.6%	53.6%
173	Roki Sasaki	LAD	9.26	3.31	15.5%	3.95	3.91	68.0	0.87	16.2%	45.0%	38.7%
174	Ryan Feltner	COL	7.24	3.51	9.8%	4.45	4.60	41.0	0.87	19.5%	42.3%	38.2%
175	Ryan Gusto	MIA	5.06	4.22	1.9%	5.48	5.59	10.2	0.87	22.0%	41.5%	36.6%
176	Ryan Johnson	LAA	4.32	5.40	-2.2%	6.99	6.54	8.1	0.87	27.0%	27.0%	45.9%
177	Ryan Weathers	NYY	9.93	2.45	20.5%	3.34	3.37	80.2	0.87	16.8%	43.0%	40.2%
178	Ryan Weiss	HOU	9.00	10.29	-2.9%	6.24	6.68	7.0	0.87	20.0%	40.0%	40.0%
179	Ryne Nelson	ARI	6.70	2.38	11.3%	4.93	4.69	83.1	0.88	18.1%	32.5%	49.4%
180	Sam Aldegheri	LAA	3.75	6.00	-5.2%	7.26	6.97	12.0	0.89	18.6%	30.2%	51.2%
181	Sandy Alcantara	MIA	6.71	2.09	12.3%	4.13	4.25	103.1	0.87	19.6%	44.9%	35.5%
182	Sean Burke	CHW	8.84	3.70	13.0%	4.42	4.26	56.0	0.86	19.4%	38.8%	41.9%
183	Sean Manaea	NYM	8.74	0.79	22.2%	3.27	3.15	11.1	0.89	15.6%	46.9%	37.5%
184	Sean Sullivan	COL	5.14	2.57	5.7%	7.51	6.73	7.0	0.87	10.7%	17.9%	71.4%
185	Seth Lugo	KCR	6.96	2.95	10.6%	4.41	4.55	85.1	0.87	21.3%	38.0%	40.7%
186	Shane Baz	BAL	7.69	3.44	11.0%	4.39	4.50	89.0	0.87	24.8%	36.7%	38.5%
187	Shane Drohan	MIL	8.22	3.91	11.0%	4.33	4.46	23.0	0.87	20.9%	41.8%	37.3%
188	Shane McClanahan	TBR	9.18	3.59	14.6%	3.83	3.99	67.2	0.87	16.5%	46.7%	36.8%
189	Shane Smith	CHW	11.88	9.72	4.1%	5.85	5.53	8.1	0.89	18.5%	44.4%	37.0%
190	Shohei Ohtani	LAD	9.53	2.69	19.4%	3.40	3.41	73.2	0.87	14.9%	50.3%	34.8%
191	Shota Imanaga	CHC	8.72	2.28	17.8%	3.87	3.73	86.2	0.87	16.8%	38.2%	45.0%
192	Simeon Woods Richardson	MIN	4.84	4.63	0.5%	6.05	5.90	44.2	0.87	18.5%	38.3%	43.2%
193	Slade Cecconi	CLE	7.47	2.87	11.8%	4.13	4.26	78.1	0.87	17.8%	47.1%	35.1%
194	Sonny Gray	BOS	7.14	2.21	13.4%	3.82	4.01	69.1	0.87	19.7%	48.1%	32.2%
195	Spencer Arrighetti	HOU	8.57	4.57	10.4%	4.74	4.58	63.0	0.87	20.5%	40.4%	39.2%
196	Spencer Miles	TOR	6.00	4.50	3.6%	4.51	4.72	6.0	0.87	10.0%	65.0%	25.0%
197	Spencer Strider	ATL	10.62	4.62	15.8%	4.35	4.13	39.0	0.89	17.5%	28.9%	53.6%
198	Stephen Kolek	KCR	6.08	1.79	12.1%	3.80	4.15	50.1	0.89	21.7%	47.4%	30.9%
199	Steven Matz	TBR	7.24	3.33	10.3%	4.55	4.65	46.0	0.87	25.7%	32.9%	41.4%
200	Taijuan Walker	PHI	7.71	4.82	6.4%	4.99	4.98	18.2	0.87	22.4%	43.3%	34.3%
